x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time2
7200,24000,20,53,32,0,2.0,35.15
23200,18000,20,13,36,0,4.173913043478262,343.44
23200,18000,50,29,24,1,1.0666666666666669,6.82
46000,14400,80,33,18,0,4.333333333333333,4.99
7200,24000,20,25,16,0,4.8,89.85
10000,10000,20,51,20,0,3.625,25.77
7200,24000,20,55,14,1,1.8823529411764703,31.11
46000,14400,100,27,22,0,1.625,3.0
7200,24000,80,55,14,1,1.2,2.28
46000,14400,20,58,20,0,2.375,134.5
10000,10000,50,21,20,1,1.1111111111111112,3.2
30000,12000,50,55,30,1,1.0,4.5
30000,12000,20,28,26,1,2.3043478260869565,72.61
10000,10000,20,45,22,0,3.0,26.44
23200,18000,50,44,20,1,2.875,5.55
23200,18000,20,54,14,1,1.2424242424242424,73.35
23200,18000,20,55,24,0,1.5909090909090908,81.48
7200,24000,20,25,32,1,2.4,35.05
7200,24000,20,36,20,0,2.25,52.21
30000,12000,100,18,24,0,2.0,2.42
23200,18000,100,27,36,0,1.6,2.01
10000,10000,80,14,36,0,1.0,1.88
30000,12000,80,13,22,0,1.0769230769230769,5.56
30000,12000,80,15,30,1,3.333333333333333,2.82
10000,10000,20,21,18,0,5.0,55.47
23200,18000,100,24,18,0,2.333333333333333,2.46
46000,14400,100,42,30,0,1.1666666666666667,2.18
7200,24000,50,54,32,0,1.0,3.35
10000,10000,50,19,28,1,2.8,2.87
30000,12000,20,48,18,0,3.055555555555556,91.55
7200,24000,80,54,18,0,1.0,3.42
23200,18000,20,42,36,1,2.5625,52.36
10000,10000,20,49,26,0,1.9,24.24
30000,12000,100,14,24,1,1.5,1.94
7200,24000,20,21,32,1,1.4285714285714286,41.46
10000,10000,80,27,14,0,1.2,1.58
10000,10000,20,34,30,0,3.625,31.51
7200,24000,20,43,24,0,2.3076923076923075,40.59
23200,18000,100,21,20,0,2.5,2.61
7200,24000,80,12,34,0,2.2,2.95
7200,24000,50,30,18,1,4.8,4.02
10000,10000,50,12,36,0,1.7142857142857142,6.42
46000,14400,20,32,28,0,2.84,203.21
7200,24000,20,54,28,1,3.333333333333333,21.3
10000,10000,20,40,36,0,2.5,27.35
46000,14400,20,48,28,1,1.3666666666666667,81.33
23200,18000,50,46,20,1,3.2857142857142856,5.31
30000,12000,80,56,26,1,1.2,1.44
23200,18000,20,40,20,0,1.6428571428571428,118.34
30000,12000,20,42,22,0,2.9444444444444446,93.3
7200,24000,50,15,22,0,3.0,8.95
10000,10000,100,16,16,0,1.0,1.16
7200,24000,20,51,20,0,2.142857142857143,39.51
7200,24000,20,11,30,1,1.0,78.64
46000,14400,50,54,28,0,2.625,10.17
7200,24000,80,18,30,0,2.0,2.24
46000,14400,20,47,34,1,4.466666666666667,79.53
10000,10000,20,40,28,0,1.4166666666666667,27.74
30000,12000,50,12,22,0,1.1904761904761905,20.54
46000,14400,100,23,28,1,1.0,2.17
46000,14400,80,36,24,1,2.142857142857143,2.73
23200,18000,50,48,30,1,4.6,5.0
23200,18000,50,21,22,0,3.3,14.19
23200,18000,80,15,28,0,1.181818181818182,5.18
7200,24000,20,56,24,1,2.083333333333333,21.19
7200,24000,50,14,30,0,4.0,8.72
10000,10000,20,27,28,1,1.0588235294117647,22.77
7200,24000,100,17,14,0,1.4285714285714286,1.7
7200,24000,100,10,18,0,2.333333333333333,2.12
46000,14400,80,51,30,0,2.4,3.66
10000,10000,100,16,14,1,1.1666666666666667,0.99
10000,10000,20,11,34,0,3.2142857142857144,89.48
46000,14400,80,37,36,0,3.0,3.82
46000,14400,80,13,20,0,4.888888888888889,9.5
30000,12000,50,52,32,1,1.5714285714285714,4.38
7200,24000,20,50,36,1,1.6666666666666667,20.11
23200,18000,20,48,22,0,2.4,99.42
10000,10000,50,10,34,1,1.1,4.08
23200,18000,50,60,28,0,2.6666666666666665,6.63
10000,10000,20,14,26,1,1.8421052631578947,39.68
46000,14400,80,12,16,1,4.2727272727272725,7.26
