grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,n_hours,time_tot
20,24,22,0,3.727272727272727,136,5982.6
20,50,18,0,4.125,68,1819.03
20,52,30,1,1.0,31,429.22
20,48,28,1,3.2857142857142856,55,768.02
20,54,28,0,1.8888888888888888,130,2845.51
20,25,36,1,4.125,21,485.79
20,12,22,1,1.8636363636363635,107,5094.370000000001
20,44,30,1,3.571428571428572,32,471.23
20,18,20,1,3.8461538461538463,127,4441.29
80,23,24,0,1.0,7,12.09
20,23,32,1,3.1,129,3041.87
20,51,30,1,1.2727272727272727,118,1580.26
20,10,24,0,2.5,101,9605.22
20,16,14,1,4.733333333333333,24,1254.69
50,11,20,0,2.2222222222222223,119,853.29
100,14,18,1,1.4,97,99.98
50,33,28,0,1.1666666666666667,45,145.16
20,32,28,1,3.875,94,1787.79
50,35,26,1,1.4,65,142.69
20,16,24,0,1.55,60,3621.2500000000014
50,10,36,0,2.6666666666666665,38,276.45
50,10,28,1,2.8571428571428568,50,215.55
20,57,34,0,1.75,67,1334.1
50,16,24,0,1.5,112,599.04
50,24,26,0,1.1428571428571428,12,50.58
20,27,32,1,3.4444444444444446,68,1500.89
50,15,20,1,3.333333333333333,52,194.26
20,10,26,0,1.52,58,5458.81
20,22,16,1,3.0,44,1635.18
20,20,30,0,1.0,34,1647.9899999999998
20,18,22,0,2.7333333333333334,131,7359.12
50,54,22,1,1.2,130,252.16
50,27,26,0,1.0,69,262.26
20,16,30,0,3.4166666666666665,103,6089.3
50,58,20,0,1.2,39,92.13
50,29,24,0,1.3333333333333333,47,164.04999999999995
20,55,14,1,3.888888888888889,103,1908.88
20,45,16,0,2.25,120,4058.79
50,34,34,0,1.0,77,237.25
20,48,36,0,1.6666666666666667,107,2471.79
20,43,18,1,2.4545454545454546,42,790.93
