grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time1
50,20,28,0,2.8,5.99
80,14,18,1,1.3333333333333333,3.02
20,60,28,0,5.0,25.86
50,16,22,1,3.0,4.96
20,51,24,1,4.833333333333333,18.93
50,13,20,0,2.8571428571428568,7.76
20,17,36,1,1.9285714285714288,34.44
20,30,34,1,2.7777777777777777,39.62
50,18,34,1,2.2,6.21
20,13,20,1,1.52,51.19
20,31,26,0,4.75,40.34
20,27,20,1,1.6875,29.9
50,26,26,0,1.0,5.91
20,23,22,0,1.0476190476190477,50.28
20,20,34,1,2.4166666666666665,31.03
50,35,14,1,2.8,4.24
20,14,36,1,3.727272727272727,40.1
20,54,30,1,2.25,20.03
20,28,16,0,1.8235294117647056,50.34
50,30,32,0,1.0,5.47
50,52,18,1,1.6,3.77
20,33,18,0,1.2222222222222223,42.98
20,26,16,1,2.533333333333333,35.66
20,22,30,1,4.5555555555555545,32.09
50,12,16,1,3.125,7.36
20,45,20,1,2.272727272727273,22.86
20,54,32,0,2.571428571428572,29.93
20,33,18,0,5.0,41.6
20,13,22,1,2.3684210526315788,48.51
20,30,20,0,2.75,41.96
20,26,34,0,1.3571428571428572,41.19
50,10,22,1,1.8,6.4
50,30,14,1,2.333333333333333,4.74
20,20,28,1,1.4705882352941178,31.05
50,33,24,1,1.8,3.76
80,15,24,1,1.0,2.39
50,16,20,0,5.0,7.01
20,18,30,1,3.727272727272727,33.93
20,38,24,1,3.875,21.94
100,10,30,0,1.2,6.46
20,33,16,0,4.5,46.95
50,27,32,0,1.1666666666666667,5.6
20,20,28,0,2.2142857142857144,52.06
20,12,32,0,2.7333333333333334,79.04
50,10,34,1,1.1,5.96
50,35,16,0,1.4285714285714286,4.82
20,55,34,1,1.5555555555555556,20.38
50,40,24,1,1.0,5.16
20,14,28,0,2.0588235294117645,77.12
20,59,18,1,3.375,21.43
50,12,30,0,1.625,8.15
20,28,20,0,1.4705882352941178,43.41
20,56,30,1,1.4,18.64
20,16,30,0,1.9375,61.27
20,14,30,1,4.545454545454546,42.16
20,25,28,1,1.7857142857142858,27.59
20,18,22,1,3.4615384615384617,39.18
20,33,26,1,1.8333333333333333,23.31
20,25,16,1,1.55,34.75
20,27,36,1,1.3846153846153846,36.83
20,12,36,0,1.7222222222222223,79.24
50,16,16,1,1.0,5.74
80,33,14,0,1.0,3.35
50,11,24,1,2.25,5.5
50,19,30,1,1.6666666666666667,4.37
20,20,36,0,2.25,50.59
20,40,36,0,1.3636363636363635,33.72
20,14,24,0,1.75,75.66
20,45,32,1,1.0833333333333333,19.94
50,35,18,1,2.2,3.86
50,38,28,0,1.4,4.56
20,48,30,0,2.5,28.55
80,10,26,0,1.5,3.85
20,60,20,1,3.125,19.86
50,54,14,0,1.0,6.35
20,11,36,1,1.2272727272727273,44.73
20,27,30,0,3.6666666666666665,42.9
20,30,30,1,4.125,25.58
50,14,14,0,4.0,9.11
20,13,28,0,2.235294117647059,76.27
20,52,34,1,1.5555555555555556,21.03
20,19,34,1,2.230769230769231,33.21
50,50,20,1,1.6,4.49
20,56,24,0,3.2857142857142856,26.32
20,11,24,1,1.8636363636363635,52.04
100,19,20,1,1.0,2.07
20,21,36,0,3.888888888888889,51.23
20,49,34,0,1.4,29.06
20,17,18,1,1.0740740740740742,45.88
50,50,28,0,1.0,5.59
20,60,18,1,2.7777777777777777,21.47
20,18,28,1,1.15,35.73
50,31,24,0,1.3333333333333333,12.12
20,39,20,0,2.083333333333333,33.9
100,15,16,0,1.0,2.8
20,13,16,0,3.263157894736842,96.91
20,60,30,0,3.333333333333333,25.22
50,16,20,1,3.333333333333333,5.69
20,16,18,0,1.148148148148148,108.57
50,19,22,1,3.6,4.62
20,52,14,0,3.888888888888889,35.02
80,20,20,0,1.4,3.41
50,23,30,0,1.3333333333333333,5.43
20,45,34,1,1.2727272727272727,20.15
