x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration,jobdir,time0,time1,time2
10000,10000,20,500,500,12,28,336,35,20,14,24,1.75,0,1,114.63215814143065,10000_10000_020_12_28_0_1_014_024,2.3,81.95,77.36
10000,10000,20,500,500,12,28,336,35,20,14,24,1.75,1,1,80.24251069900144,10000_10000_020_12_28_1_1_014_024,2.43,46.18,41.78
10000,10000,20,500,500,12,28,336,41,17,12,28,2.411764705882353,0,1,114.63215814143065,10000_10000_020_12_28_0_1_012_028,2.38,80.7,76.23
10000,10000,20,500,500,12,28,336,41,17,12,28,2.411764705882353,1,1,80.24251069900144,10000_10000_020_12_28_1_1_012_028,3.16,47.72,41.87
10000,10000,20,500,500,12,30,360,27,25,18,20,1.08,0,1,106.99001426533523,10000_10000_020_12_30_0_1_018_020,2.72,88.49,85.43
10000,10000,20,500,500,12,30,360,27,25,18,20,1.08,1,1,74.89300998573465,10000_10000_020_12_30_1_1_018_020,3.23,47.01,42.52
10000,10000,20,500,500,12,30,360,33,20,15,24,1.65,0,1,106.99001426533523,10000_10000_020_12_30_0_1_015_024,2.75,80.92,75.95
10000,10000,20,500,500,12,30,360,33,20,15,24,1.65,1,1,74.89300998573465,10000_10000_020_12_30_1_1_015_024,5.01,48.82,40.95
10000,10000,20,500,500,12,30,360,41,16,12,30,2.5625,0,1,106.99001426533523,10000_10000_020_12_30_0_1_012_030,3.39,81.6,75.24
10000,10000,20,500,500,12,30,360,41,16,12,30,2.5625,1,1,74.89300998573465,10000_10000_020_12_30_1_1_012_030,2.09,44.92,40.82
10000,10000,20,500,500,12,30,360,50,13,10,36,3.8461538461538463,0,1,106.99001426533523,10000_10000_020_12_30_0_1_010_036,2.18,80.08,75.4
10000,10000,20,500,500,12,30,360,50,13,10,36,3.8461538461538463,1,1,74.89300998573465,10000_10000_020_12_30_1_1_010_036,4.11,47.3,40.96
10000,10000,20,500,500,12,30,360,55,12,9,40,4.583333333333333,0,1,106.99001426533523,10000_10000_020_12_30_0_1_009_040,3.33,84.28,77.94
