x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration
10000,10000,20,500,500,12,36,432,27,20,18,24,1.35,1,1,62.41084165477889
10000,10000,20,500,500,12,36,432,31,18,16,27,1.7222222222222223,0,1,89.15834522111271
10000,10000,20,500,500,12,36,432,31,18,16,27,1.7222222222222223,1,1,62.41084165477889
10000,10000,20,500,500,12,36,432,41,13,12,36,3.1538461538461537,0,1,89.15834522111271
10000,10000,20,500,500,12,36,432,41,13,12,36,3.1538461538461537,1,1,62.41084165477889
10000,10000,20,500,500,13,14,182,38,35,13,14,1.0857142857142856,0,1,211.62859964571808
10000,10000,20,500,500,13,14,182,38,35,13,14,1.0857142857142856,1,1,148.14001975200264
10000,10000,20,500,500,13,14,182,71,19,7,26,3.736842105263158,0,1,211.62859964571808
10000,10000,20,500,500,13,14,182,71,19,7,26,3.736842105263158,1,1,148.14001975200264
10000,10000,20,500,500,13,16,208,38,31,13,16,1.2258064516129032,0,1,185.17502469000334
10000,10000,20,500,500,13,16,208,38,31,13,16,1.2258064516129032,1,1,129.62251728300234
10000,10000,20,500,500,13,16,208,62,19,8,26,3.263157894736842,0,1,185.17502469000334
10000,10000,20,500,500,13,16,208,62,19,8,26,3.263157894736842,1,1,129.62251728300234
10000,10000,20,500,500,13,18,234,38,27,13,18,1.4074074074074074,0,1,164.60002194666964
10000,10000,20,500,500,13,18,234,38,27,13,18,1.4074074074074074,1,1,115.22001536266875
10000,10000,20,500,500,13,18,234,55,19,9,26,2.8947368421052633,0,1,164.60002194666964
10000,10000,20,500,500,13,18,234,55,19,9,26,2.8947368421052633,1,1,115.22001536266875
10000,10000,20,500,500,13,20,260,38,25,13,20,1.52,0,1,148.14001975200267
10000,10000,20,500,500,13,20,260,38,25,13,20,1.52,1,1,103.69801382640186
10000,10000,20,500,500,13,20,260,50,19,10,26,2.6315789473684212,0,1,148.14001975200267
10000,10000,20,500,500,13,20,260,50,19,10,26,2.6315789473684212,1,1,103.69801382640186
10000,10000,20,500,500,13,22,286,38,22,13,22,1.7272727272727273,0,1,134.67274522909332
10000,10000,20,500,500,13,22,286,38,22,13,22,1.7272727272727273,1,1,94.27092166036532
10000,10000,20,500,500,13,22,286,45,19,11,26,2.3684210526315788,0,1,134.67274522909332
10000,10000,20,500,500,13,22,286,45,19,11,26,2.3684210526315788,1,1,94.27092166036532
10000,10000,20,500,500,13,24,312,38,20,13,24,1.9,0,1,123.45001646000222
10000,10000,20,500,500,13,24,312,38,20,13,24,1.9,1,1,86.41501152200155
10000,10000,20,500,500,13,24,312,41,19,12,26,2.1578947368421053,0,1,123.45001646000222
10000,10000,20,500,500,13,24,312,41,19,12,26,2.1578947368421053,1,1,86.41501152200155
10000,10000,20,500,500,13,26,338,38,19,13,26,2.0,0,1,113.95386134769436
10000,10000,20,500,500,13,26,338,38,19,13,26,2.0,1,1,79.76770294338604
10000,10000,20,500,500,13,28,364,35,19,14,26,1.8421052631578947,0,1,105.81429982285904
10000,10000,20,500,500,13,28,364,35,19,14,26,1.8421052631578947,1,1,74.07000987600132
10000,10000,20,500,500,13,28,364,38,17,13,28,2.235294117647059,0,1,105.81429982285904
10000,10000,20,500,500,13,28,364,38,17,13,28,2.235294117647059,1,1,74.07000987600132
10000,10000,20,500,500,13,30,390,33,19,15,26,1.736842105263158,0,1,98.76001316800178
10000,10000,20,500,500,13,30,390,33,19,15,26,1.736842105263158,1,1,69.13200921760124
10000,10000,20,500,500,13,30,390,38,16,13,30,2.375,0,1,98.76001316800178
10000,10000,20,500,500,13,30,390,38,16,13,30,2.375,1,1,69.13200921760124
10000,10000,20,500,500,13,30,390,50,12,10,39,4.166666666666667,0,1,98.76001316800178
